name,param_idx,estimate,bca_lo,bca_hi,pc_lo,pc_hi,excludes_zero,p_bca,p_bca_label,p_bonferroni,p_bonferroni_label,p_holm,p_holm_label,p_fdr_bh,p_fdr_bh_label,n_admit,z0,acc
sigma.precision.cell_grand,3,16.627410510832,13.733440686127,24.5750576196835,13.1346345564632,21.6601300217536,1,2.26831188288969e-07,<0.001***,2.35904435820527e-05,<0.001***,2.35904435820527e-05,<0.001***,2.35904435820527e-05,<0.001***,8203,0.18236429724794,0.0594087912745955
beta.contrast.prev_main(L1-L2),4,-0.200413923915081,-0.797219846938087,0.284846060969511,-0.730125992296595,0.355099540946993,0,0.410005092355159,0.410,1,1.000,1,1.000,0.646068630377827,0.646,6587,-0.0142707986741323,-0.0521265242363224
beta.contrast.prev_main(L1-L3),4,-0.0508865271892605,-0.958211136703352,0.664958833315255,-0.964440774791011,0.66154228144013,0,0.870685942996454,0.871,1,1.000,1,1.000,0.914659980521528,0.915,8836,-0.0243992101336886,0.0156460691711819
beta.contrast.prev_main(L2-L3),4,0.14952739672582,-1.18950559028749,0.914918146650427,-0.874343178695771,1.05168098088251,0,0.885115847949838,0.885,1,1.000,1,1.000,0.920520481867831,0.921,6134,-0.171238141546926,-0.00375247543619254
beta.contrast.curr_main(L1-L2),4,-0.448689292900657,-1.03774671889406,0.222144505638496,-1.06101542298583,0.205469578470189,0,0.176491284934362,0.176,1,1.000,1,1.000,0.358949546975625,0.359,6168,0,0.0189856957814808
beta.contrast.curr_main(L1-L3),4,-1.00827710951096,-1.98946100490897,-0.267444179072125,-1.83916538811156,-0.133350114358771,1,0.00862555127457698,0.009**,0.897057332556006,0.897,0.819427371084813,0.819,0.0882745284460797,0.088,6148,-0.13577722322136,-0.0138686554823173
beta.contrast.curr_main(L2-L3),4,-0.559587816610299,-1.64784167509746,0.284411997634351,-1.55860108534554,0.341904832409426,0,0.179474773487812,0.179,1,1.000,1,1.000,0.358949546975625,0.359,9600,-0.0407439796453426,-0.0146307137103051
beta.contrast.diag(L1L1-L2L2),4,-1.10135049328579,-2.47880537183703,0.122997232142635,-2.43001132320155,0.158870502704859,0,0.0780018755203609,0.078,1,1.000,1,1.000,0.253506095441173,0.254,9965,-0.0378663031264181,0.00236622484684709
beta.contrast.diag(L1L1-L3L3),4,-1.58809367041078,-2.59094133254019,-0.584636041387982,-2.62701630913338,-0.609800349731964,1,0.00329904527857017,0.003**,0.343100708971297,0.343,0.322980835721411,0.323,0.0428875886214122,0.043*,9931,-0.0304194231029362,0.0298403573198483
beta.contrast.diag(L2L2-L3L3),4,-0.486743177124998,-2.34423356976167,0.734096122545572,-2.10552004567996,0.857223700155222,0,0.459049058857959,0.459,1,1.000,1,1.000,0.691900030742431,0.692,9923,-0.0476345988499115,-0.0254962730878048
beta.contrast.offdiag(L1L2-L2L1),4,0.0432968995471598,-0.582912867465918,0.681019770755897,-0.60475599717857,0.661350037794403,0,0.834475944042449,0.834,1,1.000,1,1.000,0.897551088566767,0.898,6647,0.0605626282065024,-0.0149176358004733
beta.contrast.offdiag(L1L3-L3L1),4,1.16236905176011,-0.497772223514685,2.60130610619969,-0.549741352098659,2.55556769675369,0,0.154133414801205,0.154,1,1.000,1,1.000,0.336546479824377,0.337,8982,-0.00334887502995708,0.0165562671277075
beta.contrast.offdiag(L2L3-L3L2),4,0.504136743897702,-1.91576813307194,2.54674433370953,-1.91577801798251,2.54659973112101,0,0.628817297214566,0.629,1,1.000,1,1.000,0.787915649521866,0.788,9757,0.0137448842117927,-0.00710304538764633
beta.contrast.cell_grand,4,-0.394877305330999,-1.67151885673078,0.103299916035936,-1.24955157953818,0.246959053648255,0,0.118678070600079,0.119,1,1.000,1,1.000,0.330998313869175,0.331,6106,-0.307322251758336,0.00820524072375067
beta.precision.prev_main(L1-L2),4,0.575802032001808,-0.268047430254555,1.48904552819434,-0.229050420553083,1.54455555873631,0,0.195906048536522,0.196,1,1.000,1,1.000,0.366272480646186,0.366,8738,-0.0582665916033563,0.00727086797307777
beta.precision.prev_main(L1-L3),4,0.760961497063529,-0.194123789731909,2.17111978814426,-0.195340715128359,2.16707609989628,0,0.131739752349321,0.132,1,1.000,1,1.000,0.330998313869175,0.331,8960,-0.0669119674879171,0.036180364789536
beta.precision.prev_main(L2-L3),4,0.185159465061721,-1.05015842886903,1.66869316758679,-1.0018653220578,1.75547458409974,0,0.822494895258637,0.822,1,1.000,1,1.000,0.897551088566767,0.898,8387,-0.0500817643645909,0.00208697602423583
