subject_id,cell,param,influence,influence_abs
008,11,beta,-0.216188100816594,0.216188100816594
008,12,A,0.185323624508406,0.185323624508406
008,12,w,0.000655073748708376,0.000655073748708376
008,12,sigma,1.26187754726525,1.26187754726525
008,12,beta,-0.135494836871669,0.135494836871669
008,13,A,-0.0284484984738409,0.0284484984738409
008,13,w,-0.000327672304006467,0.000327672304006467
008,13,sigma,1.37514404377704,1.37514404377704
008,13,beta,0.0754439769407067,0.0754439769407067
008,14,A,-0.371283120590933,0.371283120590933
008,14,w,-0.000852980236609541,0.000852980236609541
008,14,sigma,1.28601760929265,1.28601760929265
008,14,beta,0.27644187062664,0.27644187062664
008,15,A,-0.404891902501102,0.404891902501102
008,15,w,-9.37293319632354e-05,9.37293319632354e-05
008,15,sigma,2.03883970520203,2.03883970520203
008,15,beta,-0.312067590660441,0.312067590660441
008,16,A,0.158009839491546,0.158009839491546
008,16,w,0.000199933273765933,0.000199933273765933
008,16,sigma,1.45837919970689,1.45837919970689
008,16,beta,-0.413799543226687,0.413799543226687
