lambda,cond_manipulation,cond_prev,cond_curr,A,w,fwhm,sigma,beta,exit_flag
0.1,precision,1,2,9.12574051384678,0.0240344181211328,69.2801970042834,23.2362252059743,-2.10742646963851,2
0.1,precision,1,3,8.96526579884196,0.0227242990820528,73.274393032015,24.004035809066,-0.487844104946582,2
0.1,precision,2,1,8.56174702872858,0.0317189400483825,52.4957397622846,22.1633763895897,-2.67174488228525,2
0.1,precision,2,2,6.70964895957681,0.0234774885007735,70.9236519170495,19.387963543209,-2.09647519587481,2
0.1,precision,2,3,8.35888327294959,0.0240870608443196,69.1287838344989,25.7122856625054,-1.58520762858103,2
0.1,precision,3,1,5.40590593356265,0.02949177068056,56.4601305344132,20.453480379659,-3.53587815299574,2
0.1,precision,3,2,5.62334271469793,0.0300431565927183,55.4239105060943,20.3818616642999,-2.86521819217045,2
0.1,precision,3,3,10.0836111929618,0.024994705324918,66.6184778203964,23.4526682587624,-0.51605959226562,2
0.25,contrast,1,1,6.21768565266621,0.02704552202222,61.5669100765509,15.1718512938643,-2.69630060980804,2
0.25,contrast,1,2,7.4134635594019,0.025400694001407,65.5536900772539,16.8359613517242,-2.29179095613305,2
0.25,contrast,1,3,9.0697746912958,0.0316447315431183,52.6188449425321,18.6568144791881,-1.79704569788266,2
0.25,contrast,2,1,6.08162641384947,0.018220152078488,91.3883273390095,17.7887540462973,-2.51913894292971,2
0.25,contrast,2,2,8.71639866800744,0.0245732862260522,67.7609501227423,16.5951005137443,-1.72099708962726,2
0.25,contrast,2,3,7.99521358422112,0.0274122718520005,60.7432040403422,19.2256806983376,-2.25115040176193,2
0.25,contrast,3,1,7.18002913363754,0.0191892738687761,86.7729145824943,17.0609203490579,-2.7701674501674,2
0.25,contrast,3,2,9.52328813993647,0.0194388337714204,85.6589053589983,18.2197486911761,-2.74163775310765,2
0.25,contrast,3,3,7.04682156622663,0.0267427973018004,62.263838876844,17.9452904428384,-1.10415566471027,2
0.25,precision,1,1,6.65687324353726,0.0319404569099826,52.1316657118636,15.271461022404,-2.04175204931743,2
0.25,precision,1,2,9.18081472044255,0.0237576260633368,70.0873571238256,18.3516149291513,-2.1204981056095,2
0.25,precision,1,3,8.94075202478226,0.0224658335745197,74.1174021783873,19.2812605910196,-0.469642639375026,2
0.25,precision,2,1,8.80071050185837,0.031956437446328,52.1055960981885,17.4919692961742,-2.71740715148618,2
0.25,precision,2,2,6.82954284030142,0.0236625708225306,70.3689060163294,15.3515681728058,-2.11803622055972,2
0.25,precision,2,3,8.52488810602662,0.024159461070793,68.9216211171361,20.806774737971,-1.60094897870879,2
